Time_Index,z1_natural_gas,z1_coal,z1_nuclear,z2_natural_gas,z2_coal,z2_nuclear,z3_natural_gas,z3_coal,z4_natural_gas,z5_natural_gas,z5_coal,z6_nuclear,z6_coal,z1_solar,z1_wind,z3_solar,z3_wind,z4_solar,z4_wind,z5_solar,z7_solar,z7_wind,z6_wind,z8_solar,z82_natural_gas_1,z83_natural_gas_1,z84_natural_gas_1
34,1,1,1,1,1,1,1,1,1,1,1,1,1,0.149258,0.140177,0.149258,0.140177,0.149258,0.140177,0.149258,0.149258,0.140177,0.140177,0.149258,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1,0.158676,0.143825,0.158676,0.143825,0.158676,0.143825,0.158676,0.158676,0.143825,0.143825,0.158676,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1,1,0.20976,0.120375,0.20976,0.120375,0.20976,0.120375,0.20976,0.20976,0.120375,0.120375,0.20976,1,1,1
37,1,1,1,1,1,1,1,1,1,1,1,1,1,0.220034,0.097968,0.220034,0.097968,0.220034,0.097968,0.220034,0.220034,0.097968,0.097968,0.220034,1,1,1
38,1,1,1,1,1,1,1,1,1,1,1,1,1,0.243721,0.077124,0.243721,0.077124,0.243721,0.077124,0.243721,0.243721,0.077124,0.077124,0.243721,1,1,1
39,1,1,1,1,1,1,1,1,1,1,1,1,1,0.202055,0.079208,0.202055,0.079208,0.202055,0.079208,0.202055,0.202055,0.079208,0.079208,0.202055,1,1,1
40,1,1,1,1,1,1,1,1,1,1,1,1,1,0.136701,0.08494,0.136701,0.08494,0.136701,0.08494,0.136701,0.136701,0.08494,0.08494,0.136701,1,1,1
41,1,1,1,1,1,1,1,1,1,1,1,1,1,0.030537,0.107869,0.030537,0.107869,0.030537,0.107869,0.030537,0.030537,0.107869,0.107869,0.030537,1,1,1
42,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.117249,0,0.117249,0,0.117249,0,0,0.117249,0.117249,0,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.154768,0,0.154768,0,0.154768,0,0,0.154768,0.154768,0,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.173007,0,0.173007,0,0.173007,0,0,0.173007,0.173007,0,1,1,1
45,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.158937,0,0.158937,0,0.158937,0,0,0.158937,0.158937,0,1,1,1
46,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.150078,0,0.150078,0,0.150078,0,0,0.150078,0.150078,0,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.150599,0,0.150599,0,0.150599,0,0,0.150599,0.150599,0,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.155289,0,0.155289,0,0.155289,0,0,0.155289,0.155289,0,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.131318,0,0.131318,0,0.131318,0,0,0.131318,0.131318,0,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.125065,0,0.125065,0,0.125065,0,0,0.125065,0.125065,0,1,1,1
51,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.132361,0,0.132361,0,0.132361,0,0,0.132361,0.132361,0,1,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.147473,0,0.147473,0,0.147473,0,0,0.147473,0.147473,0,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.198541,0,0.198541,0,0.198541,0,0,0.198541,0.198541,0,1,1,1
54,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.253257,0,0.253257,0,0.253257,0,0,0.253257,0.253257,0,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.293382,0,0.293382,0,0.293382,0,0,0.293382,0.293382,0,1,1,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.318916,0.000285,0.318916,0.000285,0.318916,0.000285,0.000285,0.318916,0.318916,0.000285,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,0.022831,0.329859,0.022831,0.329859,0.022831,0.329859,0.022831,0.022831,0.329859,0.329859,0.022831,1,1,1
58,1,1,1,1,1,1,1,1,1,1,1,1,1,0.141838,0.371548,0.141838,0.371548,0.141838,0.371548,0.141838,0.141838,0.371548,0.371548,0.141838,1,1,1
59,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183219,0.39135,0.183219,0.39135,0.183219,0.39135,0.183219,0.183219,0.39135,0.39135,0.183219,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,0.179224,0.422616,0.179224,0.422616,0.179224,0.422616,0.179224,0.179224,0.422616,0.422616,0.179224,1,1,1
61,1,1,1,1,1,1,1,1,1,1,1,1,1,0.179224,0.461178,0.179224,0.461178,0.179224,0.461178,0.179224,0.179224,0.461178,0.461178,0.179224,1,1,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,0.200057,0.532048,0.200057,0.532048,0.200057,0.532048,0.200057,0.200057,0.532048,0.532048,0.200057,1,1,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,0.218037,0.537259,0.218037,0.537259,0.218037,0.537259,0.218037,0.218037,0.537259,0.537259,0.218037,1,1,1
64,1,1,1,1,1,1,1,1,1,1,1,1,1,0.119292,0.567483,0.119292,0.567483,0.119292,0.567483,0.119292,0.119292,0.567483,0.567483,0.119292,1,1,1
65,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02911,0.598228,0.02911,0.598228,0.02911,0.598228,0.02911,0.02911,0.598228,0.598228,0.02911,1,1,1
66,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.6321,0,0.6321,0,0.6321,0,0,0.6321,0.6321,0,1,1,1
67,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.610735,0,0.610735,0,0.610735,0,0,0.610735,0.610735,0,1,1,1
68,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.61803,0,0.61803,0,0.61803,0,0,0.61803,0.61803,0,1,1,1
69,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.640438,0,0.640438,0,0.640438,0,0,0.640438,0.640438,0,1,1,1
70,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.648775,0,0.648775,0,0.648775,0,0,0.648775,0.648775,0,1,1,1
71,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.621678,0,0.621678,0,0.621678,0,0,0.621678,0.621678,0,1,1,1
72,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.611256,0,0.611256,0,0.611256,0,0,0.611256,0.611256,0,1,1,1
73,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.605003,0,0.605003,0,0.605003,0,0,0.605003,0.605003,0,1,1,1
74,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.718082,0,0.718082,0,0.718082,0,0,0.718082,0.718082,0,1,1,1
75,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.791558,0,0.791558,0,0.791558,0,0,0.791558,0.791558,0,1,1,1
76,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.795727,0,0.795727,0,0.795727,0,0,0.795727,0.795727,0,1,1,1
77,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.800938,0,0.800938,0,0.800938,0,0,0.800938,0.800938,0,1,1,1
78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.799375,0,0.799375,0,0.799375,0,0,0.799375,0.799375,0,1,1,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.793121,0,0.793121,0,0.793121,0,0,0.793121,0.793121,0,1,1,1
80,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.793121,0.000285,0.793121,0.000285,0.793121,0.000285,0.000285,0.793121,0.793121,0.000285,1,1,1
81,1,1,1,1,1,1,1,1,1,1,1,1,1,0.053938,0.787389,0.053938,0.787389,0.053938,0.787389,0.053938,0.053938,0.787389,0.787389,0.053938,1,1,1
82,1,1,1,1,1,1,1,1,1,1,1,1,1,0.200342,0.78322,0.200342,0.78322,0.200342,0.78322,0.200342,0.200342,0.78322,0.78322,0.200342,1,1,1
83,1,1,1,1,1,1,1,1,1,1,1,1,1,0.317637,0.781657,0.317637,0.781657,0.317637,0.781657,0.317637,0.317637,0.781657,0.781657,0.317637,1,1,1
84,1,1,1,1,1,1,1,1,1,1,1,1,1,0.395263,0.780615,0.395263,0.780615,0.395263,0.780615,0.395263,0.395263,0.780615,0.780615,0.395263,1,1,1
85,1,1,1,1,1,1,1,1,1,1,1,1,1,0.424658,0.780615,0.424658,0.780615,0.424658,0.780615,0.424658,0.424658,0.780615,0.780615,0.424658,1,1,1
86,1,1,1,1,1,1,1,1,1,1,1,1,1,0.388128,0.789995,0.388128,0.789995,0.388128,0.789995,0.388128,0.388128,0.789995,0.789995,0.388128,1,1,1
87,1,1,1,1,1,1,1,1,1,1,1,1,1,0.30137,0.778009,0.30137,0.778009,0.30137,0.778009,0.30137,0.30137,0.778009,0.778009,0.30137,1,1,1
88,1,1,1,1,1,1,1,1,1,1,1,1,1,0.178368,0.807191,0.178368,0.807191,0.178368,0.807191,0.178368,0.178368,0.807191,0.807191,0.178368,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,0.037671,0.826472,0.037671,0.826472,0.037671,0.826472,0.037671,0.037671,0.826472,0.826472,0.037671,1,1,1
90,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.823345,0,0.823345,0,0.823345,0,0,0.823345,0.823345,0,1,1,1
91,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.808755,0,0.808755,0,0.808755,0,0,0.808755,0.808755,0,1,1,1
92,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.810318,0,0.810318,0,0.810318,0,0,0.810318,0.810318,0,1,1,1
93,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.783742,0,0.783742,0,0.783742,0,0,0.783742,0.783742,0,1,1,1
94,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.768629,0,0.768629,0,0.768629,0,0,0.768629,0.768629,0,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.741532,0,0.741532,0,0.741532,0,0,0.741532,0.741532,0,1,1,1
96,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.692027,0,0.692027,0,0.692027,0,0,0.692027,0.692027,0,1,1,1
97,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.583116,0,0.583116,0,0.583116,0,0,0.583116,0.583116,0,1,1,1
98,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.491923,0,0.491923,0,0.491923,0,0,0.491923,0.491923,0,1,1,1
99,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.424179,0,0.424179,0,0.424179,0,0,0.424179,0.424179,0,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.314226,0,0.314226,0,0.314226,0,0,0.314226,0.314226,0,1,1,1
101,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.227202,0,0.227202,0,0.227202,0,0,0.227202,0.227202,0,1,1,1
102,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.156331,0,0.156331,0,0.156331,0,0,0.156331,0.156331,0,1,1,1
103,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.116206,0,0.116206,0,0.116206,0,0,0.116206,0.116206,0,1,1,1
104,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.132882,0.000285,0.132882,0.000285,0.132882,0.000285,0.000285,0.132882,0.132882,0.000285,1,1,1
105,1,1,1,1,1,1,1,1,1,1,1,1,1,0.051655,0.101094,0.051655,0.101094,0.051655,0.101094,0.051655,0.051655,0.101094,0.101094,0.051655,1,1,1
106,1,1,1,1,1,1,1,1,1,1,1,1,1,0.179224,0.090672,0.179224,0.090672,0.179224,0.090672,0.179224,0.179224,0.090672,0.090672,0.179224,1,1,1
107,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17637,0.088588,0.17637,0.088588,0.17637,0.088588,0.17637,0.17637,0.088588,0.088588,0.17637,1,1,1
108,1,1,1,1,1,1,1,1,1,1,1,1,1,0.247146,0.149557,0.247146,0.149557,0.247146,0.149557,0.247146,0.247146,0.149557,0.149557,0.247146,1,1,1
109,1,1,1,1,1,1,1,1,1,1,1,1,1,0.246861,0.19802,0.246861,0.19802,0.246861,0.19802,0.246861,0.246861,0.19802,0.19802,0.246861,1,1,1
110,1,1,1,1,1,1,1,1,1,1,1,1,1,0.222888,0.262116,0.222888,0.262116,0.222888,0.262116,0.222888,0.222888,0.262116,0.262116,0.222888,1,1,1
111,1,1,1,1,1,1,1,1,1,1,1,1,1,0.120719,0.279833,0.120719,0.279833,0.120719,0.279833,0.120719,0.120719,0.279833,0.279833,0.120719,1,1,1
112,1,1,1,1,1,1,1,1,1,1,1,1,1,0.113014,0.28296,0.113014,0.28296,0.113014,0.28296,0.113014,0.113014,0.28296,0.28296,0.113014,1,1,1
113,1,1,1,1,1,1,1,1,1,1,1,1,1,0.030537,0.388223,0.030537,0.388223,0.030537,0.388223,0.030537,0.030537,0.388223,0.388223,0.030537,1,1,1
114,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.372069,0,0.372069,0,0.372069,0,0,0.372069,0.372069,0,1,1,1
115,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.48567,0,0.48567,0,0.48567,0,0,0.48567,0.48567,0,1,1,1
116,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.51902,0,0.51902,0,0.51902,0,0,0.51902,0.51902,0,1,1,1
117,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.588848,0,0.588848,0,0.588848,0,0,0.588848,0.588848,0,1,1,1
118,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.557061,0,0.557061,0,0.557061,0,0,0.557061,0.557061,0,1,1,1
119,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.479416,0,0.479416,0,0.479416,0,0,0.479416,0.479416,0,1,1,1
120,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.494007,0,0.494007,0,0.494007,0,0,0.494007,0.494007,0,1,1,1
121,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.492965,0,0.492965,0,0.492965,0,0,0.492965,0.492965,0,1,1,1
122,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.51433,0,0.51433,0,0.51433,0,0,0.51433,0.51433,0,1,1,1
123,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.573215,0,0.573215,0,0.573215,0,0,0.573215,0.573215,0,1,1,1
124,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.551329,0,0.551329,0,0.551329,0,0,0.551329,0.551329,0,1,1,1
125,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.55654,0,0.55654,0,0.55654,0,0,0.55654,0.55654,0,1,1,1
126,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.499218,0,0.499218,0,0.499218,0,0,0.499218,0.499218,0,1,1,1
127,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.465347,0,0.465347,0,0.465347,0,0,0.465347,0.465347,0,1,1,1
128,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.458572,0.000285,0.458572,0.000285,0.458572,0.000285,0.000285,0.458572,0.458572,0.000285,1,1,1
129,1,1,1,1,1,1,1,1,1,1,1,1,1,0.008847,0.474726,0.008847,0.474726,0.008847,0.474726,0.008847,0.008847,0.474726,0.474726,0.008847,1,1,1
130,1,1,1,1,1,1,1,1,1,1,1,1,1,0.038813,0.45284,0.038813,0.45284,0.038813,0.45284,0.038813,0.038813,0.45284,0.45284,0.038813,1,1,1
131,1,1,1,1,1,1,1,1,1,1,1,1,1,0.097317,0.451798,0.097317,0.451798,0.097317,0.451798,0.097317,0.097317,0.451798,0.451798,0.097317,1,1,1
132,1,1,1,1,1,1,1,1,1,1,1,1,1,0.120434,0.499739,0.120434,0.499739,0.120434,0.499739,0.120434,0.120434,0.499739,0.499739,0.120434,1,1,1
133,1,1,1,1,1,1,1,1,1,1,1,1,1,0.144977,0.474205,0.144977,0.474205,0.144977,0.474205,0.144977,0.144977,0.474205,0.474205,0.144977,1,1,1
134,1,1,1,1,1,1,1,1,1,1,1,1,1,0.231735,0.389786,0.231735,0.389786,0.231735,0.389786,0.231735,0.231735,0.389786,0.389786,0.231735,1,1,1
135,1,1,1,1,1,1,1,1,1,1,1,1,1,0.161244,0.312142,0.161244,0.312142,0.161244,0.312142,0.161244,0.161244,0.312142,0.312142,0.161244,1,1,1
136,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04024,0.318916,0.04024,0.318916,0.04024,0.318916,0.04024,0.04024,0.318916,0.318916,0.04024,1,1,1
137,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009132,0.289734,0.009132,0.289734,0.009132,0.289734,0.009132,0.009132,0.289734,0.289734,0.009132,1,1,1
138,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.243877,0,0.243877,0,0.243877,0,0,0.243877,0.243877,0,1,1,1
139,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.307452,0,0.307452,0,0.307452,0,0,0.307452,0.307452,0,1,1,1
140,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.317874,0,0.317874,0,0.317874,0,0,0.317874,0.317874,0,1,1,1
141,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.263679,0,0.263679,0,0.263679,0,0,0.263679,0.263679,0,1,1,1
142,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.227723,0,0.227723,0,0.227723,0,0,0.227723,0.227723,0,1,1,1
143,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.230849,0,0.230849,0,0.230849,0,0,0.230849,0.230849,0,1,1,1
144,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.200625,0,0.200625,0,0.200625,0,0,0.200625,0.200625,0,1,1,1
145,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.142262,0,0.142262,0,0.142262,0,0,0.142262,0.142262,0,1,1,1
146,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.11777,0,0.11777,0,0.11777,0,0,0.11777,0.11777,0,1,1,1
147,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.121939,0,0.121939,0,0.121939,0,0,0.121939,0.121939,0,1,1,1
148,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.128192,0,0.128192,0,0.128192,0,0,0.128192,0.128192,0,1,1,1
149,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.123502,0,0.123502,0,0.123502,0,0,0.123502,0.123502,0,1,1,1
150,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.152163,0,0.152163,0,0.152163,0,0,0.152163,0.152163,0,1,1,1
151,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.174049,0,0.174049,0,0.174049,0,0,0.174049,0.174049,0,1,1,1
152,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.20271,0.000285,0.20271,0.000285,0.20271,0.000285,0.000285,0.20271,0.20271,0.000285,1,1,1
153,1,1,1,1,1,1,1,1,1,1,1,1,1,0.056507,0.244919,0.056507,0.244919,0.056507,0.244919,0.056507,0.056507,0.244919,0.244919,0.056507,1,1,1
154,1,1,1,1,1,1,1,1,1,1,1,1,1,0.194064,0.304325,0.194064,0.304325,0.194064,0.304325,0.194064,0.194064,0.304325,0.304325,0.194064,1,1,1
155,1,1,1,1,1,1,1,1,1,1,1,1,1,0.303368,0.418968,0.303368,0.418968,0.303368,0.418968,0.303368,0.303368,0.418968,0.418968,0.303368,1,1,1
156,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183505,0.563835,0.183505,0.563835,0.183505,0.563835,0.183505,0.183505,0.563835,0.563835,0.183505,1,1,1
157,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22089,0.642522,0.22089,0.642522,0.22089,0.642522,0.22089,0.22089,0.642522,0.642522,0.22089,1,1,1
158,1,1,1,1,1,1,1,1,1,1,1,1,1,0.185788,0.672746,0.185788,0.672746,0.185788,0.672746,0.185788,0.185788,0.672746,0.672746,0.185788,1,1,1
159,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148116,0.70297,0.148116,0.70297,0.148116,0.70297,0.148116,0.148116,0.70297,0.70297,0.148116,1,1,1
160,1,1,1,1,1,1,1,1,1,1,1,1,1,0.159532,0.711829,0.159532,0.711829,0.159532,0.711829,0.159532,0.159532,0.711829,0.711829,0.159532,1,1,1
161,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02968,0.743095,0.02968,0.743095,0.02968,0.743095,0.02968,0.02968,0.743095,0.743095,0.02968,1,1,1
162,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.804065,0,0.804065,0,0.804065,0,0,0.804065,0.804065,0,1,1,1
163,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.794685,0,0.794685,0,0.794685,0,0,0.794685,0.794685,0,1,1,1
164,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.786868,0,0.786868,0,0.786868,0,0,0.786868,0.786868,0,1,1,1
165,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.775925,0,0.775925,0,0.775925,0,0,0.775925,0.775925,0,1,1,1
166,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.770714,0,0.770714,0,0.770714,0,0,0.770714,0.770714,0,1,1,1
167,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.752996,0,0.752996,0,0.752996,0,0,0.752996,0.752996,0,1,1,1
168,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.710787,0,0.710787,0,0.710787,0,0,0.710787,0.710787,0,1,1,1
169,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.66962,0,0.66962,0,0.66962,0,0,0.66962,0.66962,0,1,1,1
170,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.62272,0,0.62272,0,0.62272,0,0,0.62272,0.62272,0,1,1,1
171,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.624283,0,0.624283,0,0.624283,0,0,0.624283,0.624283,0,1,1,1
172,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.589369,0,0.589369,0,0.589369,0,0,0.589369,0.589369,0,1,1,1
