Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8
,,,,,,,,45,5953.308925,4286.382426,10.71595607,107.1595607,2500.389749,85.72764852,1178.755167,9.52529428
,,,,,,,,46,5730.84485,4126.208292,10.31552073,103.1552073,2406.954837,82.52416584,1134.70728,9.16935176
,,,,,,,,47,5590.482225,4025.147202,10.06286801,100.6286801,2348.002535,80.50294404,1106.915481,8.94477156
,,,,,,,,48,5626.94145,4051.397844,10.12849461,101.2849461,2363.315409,81.02795688,1114.134407,9.00310632
,,,,,,,,49,5872.15525,4227.95178,10.56987945,105.6987945,2466.305205,84.5590356,1162.68674,9.3954484
,,,,,,,,50,6240.167025,4492.920258,11.23230065,112.3230065,2620.870151,89.85840516,1235.553071,9.98426724
,,,,,,,,51,6733.06655,4847.807916,12.11951979,121.1951979,2827.887951,96.95615832,1333.147177,10.77290648
,,,,,,,,52,7320.0383,5270.427576,13.17606894,131.7606894,3074.416086,105.4085515,1449.367583,11.71206128
,,,,,,,,53,7875.4811,5670.346392,14.17586598,141.7586598,3307.702062,113.4069278,1559.345258,12.60076976
,,,,,,,,54,8307.520675,5981.414886,14.95353722,149.5353722,3489.158684,119.6282977,1644.889094,13.29203308
,,,,,,,,55,8499.507425,6119.645346,15.29911337,152.9911337,3569.793119,122.3929069,1682.90247,13.59921188
,,,,,,,,56,8407.5127,6053.409144,15.13352286,151.3352286,3531.155334,121.0681829,1664.687515,13.45202032
,,,,,,,,57,7994.037625,5755.70709,14.38926773,143.8926773,3357.495803,115.1141418,1582.81945,12.7904602
,,,,,,,,58,7436.867125,5354.54433,13.38636083,133.8636083,3123.484193,107.0908866,1472.499691,11.8989874
,,,,,,,,59,6792.4945,4890.59604,12.2264901,122.264901,2852.84769,97.8119208,1344.913911,10.8679912
,,,,,,,,60,6186.759625,4454.46693,11.13616733,111.3616733,2598.439043,89.0893386,1224.978406,9.8988154
,,,,,,,,61,5764.89805,4150.726596,10.37681649,103.7681649,2421.257181,83.01453192,1141.449814,9.22383688
,,,,,,,,62,5563.09895,4005.431244,10.01357811,100.1357811,2336.501559,80.10862488,1101.493592,8.90095832
,,,,,,,,63,5531.7435,3982.85532,9.9571383,99.571383,2323.33227,79.6571064,1095.285213,8.8507896
,,,,,,,,64,5605.18585,4035.733812,10.08933453,100.8933453,2354.178057,80.71467624,1109.826798,8.96829736
,,,,,,,,65,5642.771675,4062.795606,10.15698902,101.5698902,2369.964104,81.25591212,1117.268792,9.02843468
,,,,,,,,66,5573.249225,4012.739442,10.03184861,100.3184861,2340.764675,80.25478884,1103.503347,8.91719876
,,,,,,,,67,5348.175925,3850.686666,9.626716665,96.26716665,2246.233889,77.01373332,1058.938833,8.55708148
,,,,,,,,68,5014.182875,3610.21167,9.025529175,90.25529175,2105.956808,72.2042334,992.8082093,8.0226926
,,,,,,,,69,4608.2578,3317.945616,8.29486404,82.9486404,1935.468276,66.35891232,912.4350444,7.37321248
