Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8
2000.0,1.0,1.0,1.0,2000.0,1.0,8760.0,8760.0,1,15724.81066016329,15421.563100803825,343.7842444657236,3767.9414286685123,7882.984659609605,443.2079523116322,5853.455117773918,117.9814362034938
,2.0,0.9,0.04,1800.0,,,,2,15740.36534880199,15436.817822627774,344.12430941131316,3771.6686058662813,7890.782360616871,443.64636532972133,5859.245246112203,118.0981412338406
,3.0,0.55,0.024,1100.0,,,,3,15764.375295019387,15460.364745299252,344.649227732964,3777.4218116127786,7902.818755954164,444.323092021578,5868.182787275718,118.27828508416201
,4.0,0.2,0.003,400.0,,,,4,15859.31113857214,15553.469783796525,346.72476606241315,3800.1701108272314,7950.410921897974,446.99888391067134,5903.522017191653,118.9905777413906
,,,,,,,,5,16084.496509040526,15774.312531929178,351.6478894070604,3854.1284893956563,8063.298311090379,453.3457932053358,5987.345758392889,120.68011753897821
,,,,,,,,6,16467.57969444666,16150.008090004425,360.02305946847235,3945.92196380453,8255.341251331392,464.14309422460974,6129.945900334783,123.5543463851242
,,,,,,,,7,16886.59539229186,16560.943214388302,369.1838053887984,4046.3255006924574,8465.397473287521,475.9531626217368,6285.9216786119205,126.6981727174072
,,,,,,,,8,17134.186106950932,16803.759227363324,374.59676638497956,4105.652594116924,8589.51685683366,482.93157247524414,6378.085658653089,128.5558172218418
,,,,,,,,9,17275.559008768727,16942.405801445777,377.6875365881772,4139.5280298956095,8660.388324884938,486.9162051478494,6430.7107715109705,129.6165217579526
,,,,,,,,10,17436.17469613156,17099.924070579527,381.1990028895972,4178.014375810199,8740.90636907236,491.44320082643935,6490.49888200126,130.82160268906262
,,,,,,,,11,17398.40124493318,17062.879067381702,380.37317944016155,4168.963191999464,8721.970208709441,490.3785461021832,6476.437968581598,130.5381928522728
,,,,,,,,12,17189.681703401606,16858.18461034418,375.81004087898043,4118.950315882496,8617.337283098299,484.4957305561758,6398.743521572929,128.9721942653382
,,,,,,,,13,16822.759596934957,16498.338470365503,367.788192993144,4031.0293204613886,8433.396032608345,474.153933826188,6262.159232684628,126.219220125852
,,,,,,,,14,16368.831366233562,16053.164089300803,357.8641705545984,3922.2601261565574,8205.837853593319,461.3598464458368,6093.1874986190205,122.81344909630721
,,,,,,,,15,15998.815114385963,15690.2834734695,349.77467680293597,3833.597719037772,8020.345481051736,450.93084040897196,5955.451434901332,120.037259941788
,,,,,,,,16,15794.023116187192,15489.440818443902,345.2974043005872,3784.525951437555,7917.681467150345,445.1587237117944,5879.218989510266,118.50072925835761
,,,,,,,,17,15968.999369750245,15661.0427152032,349.1228290023936,3826.4533417942275,8005.398588357273,450.0904757513472,5944.352724284083,119.8135558572288
,,,,,,,,18,16858.27230070424,16533.166323870002,368.56459076976,4039.5387893935203,8451.19886057776,475.15486878551997,6275.378598063119,126.48566783608
,,,,,,,,19,17726.64808898489,17384.7957840648,387.5494879960704,4247.616913768301,8886.52321301239,499.6302703199808,6598.625650883885,133.00099096968322
,,,,,,,,20,17817.737241244948,17474.1283133865,389.540927897352,4269.443478038004,8932.186999078953,502.197642196404,6632.532975810924,133.684422346916
,,,,,,,,21,17802.05194546454,17458.7455031346,389.19800754838076,4265.685005070082,8924.323823573019,501.75554798144157,6626.694229841649,133.5667373862864
,,,,,,,,22,17519.800583151136,17181.937261161227,383.02727688335875,4198.052610356863,8782.8287552154,493.80021859582257,6521.62805658606,131.44903805013539
,,,,,,,,23,16917.36892263344,16591.1232877929,369.8565928141392,4053.699380250459,8480.824512305499,476.8205227230984,6297.37691852309,126.9290629573736
,,,,,,,,24,16341.689958309016,16026.546094083002,357.270790537584,3915.7565670637687,8192.231629204782,460.594858676568,6083.084291874408,122.60981025087202
,,,,,,,,25,15915.465990119052,15608.541708366076,347.9524535449116,3813.6258017183386,7978.561838489191,448.58162327105816,5924.4252833917235,119.4119010996478
,,,,,,,,26,15701.674537917803,15398.873150709825,343.2784301524116,3762.3976065270886,7871.3863198466925,442.55585457980817,5844.842851712973,117.8078485533978
,,,,,,,,27,15617.062877947712,15315.893197469552,341.4286046616984,3742.1231634295073,7828.969757130418,440.1710525387868,5813.34672977047,117.17301705185722
,,,,,,,,28,15665.455933644522,15363.3530097495,342.48659960037594,3753.718991408652,7853.229617801177,441.53502362785196,5831.360719614611,117.536104553308
,,,,,,,,29,15935.993079224223,15628.67293962555,348.4012277763864,3818.5444535940833,7988.852247195507,449.1601847129628,5932.066354395526,119.5659134757612
,,,,,,,,30,16593.105596403835,16273.113268162277,362.7673740613692,3976.000179471294,8318.26848021173,467.6810750099334,6176.672073965975,124.4961527135886
,,,,,,,,31,17468.90111421106,17132.019370954426,381.91448539407236,4185.85620164573,8757.31240773699,492.36560358580977,6502.681071251983,131.06714521992419
,,,,,,,,32,17975.669262815052,17629.014670298326,392.9937224578596,4307.2867703896845,9011.359698210537,506.64899804400414,6691.3221097406495,134.8693680438818
,,,,,,,,33,18144.29863122985,17794.39207940415,396.68038815247917,4347.693335344389,9095.89507056584,511.4018614450284,6754.09325916092,136.1345746973436
,,,,,,,,34,18340.004103998337,17986.3234395138,400.9590061624224,4394.587811506805,9194.003930060342,516.9178720168848,6826.943306510308,137.6029302310992
,,,,,,,,35,18399.980769287144,18045.143475463126,402.27024818673,4408.959276243585,9224.07075519573,518.608330209585,6849.269217198134,138.052928215965
,,,,,,,,36,18262.631811311512,17910.443244851325,399.2674516020036,4376.048048240573,9155.216525269885,514.7371134596922,6798.141990399778,137.0224148652338
,,,,,,,,37,18018.63590274327,17671.152713369404,393.9330821846112,4317.582333632703,9032.89924935357,507.8600241677424,6707.316152773454,135.1917417752496
,,,,,,,,38,17831.572269184486,17487.696537575775,389.84339669841717,4272.75859426209,8939.12261918718,502.58758612232936,6637.682972007851,133.7882249618726
,,,,,,,,39,17718.55044619897,17376.8543015319,387.3724529864112,4245.676576018803,8882.463794095369,499.40203611384237,6595.611357762554,132.94023529214962
,,,,,,,,40,17734.829693504766,17392.819609158527,387.7283586221892,4249.577370227184,8890.62472267855,499.86087100982337,6601.6711981965655,133.06237660239861
,,,,,,,,41,18000.605897799807,17653.470410863352,393.53890054636076,4313.262027076792,9023.860650705,507.3518437041516,6700.604604571659,135.0564647328764
,,,,,,,,42,18715.303725697424,18354.385537228125,409.16400777945,4484.516207042026,9382.14490196445,527.495791232025,6966.646069157774,140.418759898725
,,,,,,,,43,19264.142922400773,18892.640558994302,421.1630246610864,4616.0277394622335,9657.282775590207,542.9649693211128,7170.9477726381765,144.5366369321112
,,,,,,,,44,19212.18926724548,18841.688812190478,420.02718598736277,4603.5787291777215,9631.237955372604,541.5006417934806,7151.608373568258,144.14683466461742
