Time_Index,z1_natural_gas,z1_coal,z1_nuclear,z2_natural_gas,z2_coal,z2_nuclear,z3_natural_gas,z3_coal,z4_natural_gas,z5_natural_gas,z5_coal,z7_natural_gas,z7_coal,z1_solar,z1_wind,z3_solar,z3_wind,z4_solar,z4_wind,z5_solar,z7_solar,z7_wind,z6_wind,z8_solar
41,1,1,1,1,1,1,1,1,1,1,1,1,1,0.030537,0.107869,0.030537,0.107869,0.030537,0.107869,0.030537,0.030537,0.107869,0.107869,0.030537
42,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.117249,0,0.117249,0,0.117249,0,0,0.117249,0.117249,0
43,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.154768,0,0.154768,0,0.154768,0,0,0.154768,0.154768,0
44,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.173007,0,0.173007,0,0.173007,0,0,0.173007,0.173007,0
45,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.158937,0,0.158937,0,0.158937,0,0,0.158937,0.158937,0
46,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.150078,0,0.150078,0,0.150078,0,0,0.150078,0.150078,0
47,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.150599,0,0.150599,0,0.150599,0,0,0.150599,0.150599,0
48,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.155289,0,0.155289,0,0.155289,0,0,0.155289,0.155289,0
49,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.131318,0,0.131318,0,0.131318,0,0,0.131318,0.131318,0
50,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.125065,0,0.125065,0,0.125065,0,0,0.125065,0.125065,0
51,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.132361,0,0.132361,0,0.132361,0,0,0.132361,0.132361,0
52,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.147473,0,0.147473,0,0.147473,0,0,0.147473,0.147473,0
53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.198541,0,0.198541,0,0.198541,0,0,0.198541,0.198541,0
54,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.253257,0,0.253257,0,0.253257,0,0,0.253257,0.253257,0
55,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.293382,0,0.293382,0,0.293382,0,0,0.293382,0.293382,0
56,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.318916,0.000285,0.318916,0.000285,0.318916,0.000285,0.000285,0.318916,0.318916,0.000285
57,1,1,1,1,1,1,1,1,1,1,1,1,1,0.022831,0.329859,0.022831,0.329859,0.022831,0.329859,0.022831,0.022831,0.329859,0.329859,0.022831
58,1,1,1,1,1,1,1,1,1,1,1,1,1,0.141838,0.371548,0.141838,0.371548,0.141838,0.371548,0.141838,0.141838,0.371548,0.371548,0.141838
59,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183219,0.39135,0.183219,0.39135,0.183219,0.39135,0.183219,0.183219,0.39135,0.39135,0.183219
60,1,1,1,1,1,1,1,1,1,1,1,1,1,0.179224,0.422616,0.179224,0.422616,0.179224,0.422616,0.179224,0.179224,0.422616,0.422616,0.179224
61,1,1,1,1,1,1,1,1,1,1,1,1,1,0.179224,0.461178,0.179224,0.461178,0.179224,0.461178,0.179224,0.179224,0.461178,0.461178,0.179224
62,1,1,1,1,1,1,1,1,1,1,1,1,1,0.200057,0.532048,0.200057,0.532048,0.200057,0.532048,0.200057,0.200057,0.532048,0.532048,0.200057
63,1,1,1,1,1,1,1,1,1,1,1,1,1,0.218037,0.537259,0.218037,0.537259,0.218037,0.537259,0.218037,0.218037,0.537259,0.537259,0.218037
64,1,1,1,1,1,1,1,1,1,1,1,1,1,0.119292,0.567483,0.119292,0.567483,0.119292,0.567483,0.119292,0.119292,0.567483,0.567483,0.119292
65,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02911,0.598228,0.02911,0.598228,0.02911,0.598228,0.02911,0.02911,0.598228,0.598228,0.02911
66,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.6321,0,0.6321,0,0.6321,0,0,0.6321,0.6321,0
67,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.610735,0,0.610735,0,0.610735,0,0,0.610735,0.610735,0
68,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.61803,0,0.61803,0,0.61803,0,0,0.61803,0.61803,0
69,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.640438,0,0.640438,0,0.640438,0,0,0.640438,0.640438,0
70,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.648775,0,0.648775,0,0.648775,0,0,0.648775,0.648775,0
71,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.621678,0,0.621678,0,0.621678,0,0,0.621678,0.621678,0
72,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.611256,0,0.611256,0,0.611256,0,0,0.611256,0.611256,0
73,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.605003,0,0.605003,0,0.605003,0,0,0.605003,0.605003,0
74,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.718082,0,0.718082,0,0.718082,0,0,0.718082,0.718082,0
75,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.791558,0,0.791558,0,0.791558,0,0,0.791558,0.791558,0
76,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.795727,0,0.795727,0,0.795727,0,0,0.795727,0.795727,0
77,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.800938,0,0.800938,0,0.800938,0,0,0.800938,0.800938,0
78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.799375,0,0.799375,0,0.799375,0,0,0.799375,0.799375,0
79,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.793121,0,0.793121,0,0.793121,0,0,0.793121,0.793121,0
80,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.793121,0.000285,0.793121,0.000285,0.793121,0.000285,0.000285,0.793121,0.793121,0.000285
81,1,1,1,1,1,1,1,1,1,1,1,1,1,0.053938,0.787389,0.053938,0.787389,0.053938,0.787389,0.053938,0.053938,0.787389,0.787389,0.053938
82,1,1,1,1,1,1,1,1,1,1,1,1,1,0.200342,0.78322,0.200342,0.78322,0.200342,0.78322,0.200342,0.200342,0.78322,0.78322,0.200342
