Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
2000000.0,1.0,1.0,1.0,2000.0,1.0,8760.0,8760.0,1,53.122906783232004,159.36872039296,26.561453391616002,106.24581356646401,159.36872039296,398.42180087424003
,2.0,0.9,0.04,1800.0,,,,2,50.834164779008006,152.50249429376,25.417082389504003,101.66832955801601,152.50249429376,381.25623584256005
,3.0,0.55,0.024,1100.0,,,,3,49.52039674316801,148.56119018624003,24.760198371584003,99.04079348633601,148.56119018624003,371.40297557376005
,4.0,0.2,0.003,400.0,,,,4,48.530365258752,145.59109581952,24.265182629376,97.060730517504,145.59109581952,363.97773944064005
,,,,,,,,5,48.176513675264005,144.52954100416002,24.088256837632002,96.35302735052801,144.52954100416002,361.32385256448003
,,,,,,,,6,48.52660085811201,145.57980261760002,24.263300429056006,97.05320171622402,145.57980261760002,363.94950643584
,,,,,,,,7,49.64462127206401,148.93386379456,24.822310636032004,99.28924254412802,148.93386379456,372.33465954048006
,,,,,,,,8,51.08261375027201,153.24784129408002,25.541306875136005,102.16522750054402,153.24784129408002,383.11960312704
,,,,,,,,9,52.02370837248001,156.07112511744,26.011854186240004,104.04741674496002,156.07112511744,390.1778127936001
,,,,,,,,10,53.638626642432,160.91587997056,26.819313321216,107.277253284864,160.91587997056,402.2896998182401
,,,,,,,,11,54.636186928128005,163.90856074112003,27.318093464064003,109.27237389952002,163.90856074112003,409.7714019609601
,,,,,,,,12,56.070415005696006,168.21124503872002,28.035207502848003,112.14082998976001,168.21124503872002,420.52811254272
,,,,,,,,13,56.311335262208004,168.93400574336002,28.155667631104002,112.62267056768002,168.93400574336002,422.33501446656004
,,,,,,,,14,56.90610701568001,170.71832104704004,28.453053507840004,113.81221403136001,170.71832104704004,426.7958026176001
,,,,,,,,15,57.937546647552004,173.81263998592001,28.968773323776002,115.87509325184001,173.81263998592001,434.53159985664
,,,,,,,,16,59.95901785036801,179.87705350784,29.979508925184003,119.91803574400001,179.87705350784,449.6926338777601
,,,,,,,,17,62.27787488665601,186.8336246816,31.138937443328004,124.55574975168001,186.8336246816,467.08406164992005
,,,,,,,,18,64.44615676262401,193.33847026624002,32.22307838131201,128.89231354688002,193.33847026624002,483.34617571968005
,,,,,,,,19,63.143681928704005,189.43104576448002,31.571840964352003,126.28736387904002,189.43104576448002,473.5776144652801
,,,,,,,,20,61.679338732544004,185.038016176,30.839669366272002,123.35867748672001,185.038016176,462.59504049408
,,,,,,,,21,61.005514998272005,183.01654503808,30.502757499136003,122.01102995328002,183.01654503808,457.54136248704003
,,,,,,,,22,59.80844269004801,179.42532802688004,29.904221345024006,119.61688542336,179.42532802688004,448.56332017536005
,,,,,,,,23,57.47829253836801,172.43487757184002,28.739146269184005,114.95658512,172.43487757184002,431.08719403776
,,,,,,,,24,54.49314048256001,163.47942144768004,27.246570241280004,108.98628096512002,163.47942144768004,408.6985536192
,,,,,,,,25,52.050059003904,156.15017699008,26.025029501952,104.100118007808,156.15017699008,390.37544252928006
