Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
2000000,1,1,1,2000,1,8760,8760,1,49.11511352,147.3453406,24.55755676,98.23022704,147.3453406,368.3633514
,2,0.9,0.04,1800,,,,2,46.99904288,140.9971286,23.49952144,93.99808576,140.9971286,352.4928216
,3,0.55,0.024,1100,,,,3,45.78439048,137.3531714,22.89219524,91.56878096,137.3531714,343.3829286
,4,0.2,0.003,400,,,,4,44.86905072,134.6071522,22.43452536,89.73810144,134.6071522,336.5178804
,,,,,,,,5,44.54189504,133.6256851,22.27094752,89.08379008,133.6256851,334.0642128
,,,,,,,,6,44.86557032,134.596711,22.43278516,89.73114064,134.596711,336.4917774
,,,,,,,,7,45.89924304,137.6977291,22.94962152,91.79848608,137.6977291,344.2443228
,,,,,,,,8,47.22874792,141.6862438,23.61437396,94.45749584,141.6862438,354.2156094
,,,,,,,,9,48.0988428,144.2965284,24.0494214,96.1976856,144.2965284,360.741321
,,,,,,,,10,49.59192552,148.7757766,24.79596276,99.18385104,148.7757766,371.9394414
,,,,,,,,11,50.51422608,151.5426782,25.25711304,101.0284522,151.5426782,378.8566956
,,,,,,,,12,51.84025056,155.5207517,25.92012528,103.6805011,155.5207517,388.8018792
,,,,,,,,13,52.06299488,156.1889846,26.03149744,104.1259898,156.1889846,390.4724616
,,,,,,,,14,52.6128948,157.8386844,26.3064474,105.2257896,157.8386844,394.596711
,,,,,,,,15,53.56651872,160.6995562,26.78325936,107.1330374,160.6995562,401.7488904
,,,,,,,,16,55.43548248,166.3064474,27.71774124,110.870965,166.3064474,415.7661186
,,,,,,,,17,57.57939616,172.7381885,28.78969808,115.1587923,172.7381885,431.8454712
,,,,,,,,18,59.58409464,178.7522839,29.79204732,119.1681893,178.7522839,446.8807098
,,,,,,,,19,58.37988344,175.1396503,29.18994172,116.7597669,175.1396503,437.8491258
,,,,,,,,20,57.02601584,171.0780475,28.51300792,114.0520317,171.0780475,427.6951188
,,,,,,,,21,56.40302792,169.2090838,28.20151396,112.8060558,169.2090838,423.0227094
,,,,,,,,22,55.29626728,165.8888018,27.64813364,110.5925346,165.8888018,414.7220046
,,,,,,,,23,53.14191248,159.4257374,26.57095624,106.283825,159.4257374,398.5643436
,,,,,,,,24,50.3819716,151.1459148,25.1909858,100.7639432,151.1459148,377.864787
,,,,,,,,25,48.12320544,144.3696163,24.06160272,96.24641088,144.3696163,360.9240408
,,,,,,,,26,46.82154352,140.4646306,23.41077176,93.64308704,140.4646306,351.1615764
,,,,,,,,27,45.86095888,137.5828766,22.93047944,91.72191776,137.5828766,343.9571916
,,,,,,,,28,45.74958672,137.2487602,22.87479336,91.49917344,137.2487602,343.1219004
,,,,,,,,29,45.91316456,137.7394937,22.95658228,91.82632912,137.7394937,344.3487342
,,,,,,,,30,45.7321848,137.1965544,22.8660924,91.4643696,137.1965544,342.991386
,,,,,,,,31,46.90507264,140.7152179,23.45253632,93.81014528,140.7152179,351.7880448
,,,,,,,,32,49.32741672,147.9822502,24.66370836,98.65483344,147.9822502,369.9556254
,,,,,,,,33,51.02584184,153.0775255,25.51292092,102.0516837,153.0775255,382.6938138
,,,,,,,,34,52.64769856,157.9430957,26.32384928,105.2953971,157.9430957,394.8577392
,,,,,,,,35,53.8275472,161.4826416,26.9137736,107.6550944,161.4826416,403.706604
,,,,,,,,36,55.00739584,165.0221875,27.50369792,110.0147917,165.0221875,412.5554688
,,,,,,,,37,55.16053248,165.4815974,27.58026624,110.321065,165.4815974,413.7039936
,,,,,,,,38,55.38675712,166.1602714,27.69337856,110.7735142,166.1602714,415.4006784
,,,,,,,,39,55.69651088,167.0895326,27.84825544,111.3930218,167.0895326,417.7238316
,,,,,,,,40,56.30557728,168.9167318,28.15278864,112.6111546,168.9167318,422.2918296
,,,,,,,,41,58.47037328,175.4111198,29.23518664,116.9407466,175.4111198,438.5277996
,,,,,,,,42,62.15957536,186.4787261,31.07978768,124.3191507,186.4787261,466.1968152
,,,,,,,,43,61.23379448,183.7013834,30.61689724,122.467589,183.7013834,459.2534586
,,,,,,,,44,58.86713648,176.6014094,29.43356824,117.734273,176.6014094,441.5035236
,,,,,,,,45,57.03297656,171.0989297,28.51648828,114.0659531,171.0989297,427.7473242
,,,,,,,,46,54.82293568,164.468807,27.41146784,109.6458714,164.468807,411.1720176
,,,,,,,,47,52.49456192,157.4836858,26.24728096,104.9891238,157.4836858,393.7092144
,,,,,,,,48,49.54668056,148.6400417,24.77334028,99.09336112,148.6400417,371.6001042
,,,,,,,,49,47.40276688,142.2083006,23.70138344,94.80553376,142.2083006,355.5207516
,,,,,,,,50,45.98973288,137.9691986,22.99486644,91.97946576,137.9691986,344.9229966
,,,,,,,,51,45.11267728,135.3380318,22.55633864,90.22535456,135.3380318,338.3450796
,,,,,,,,52,44.66718872,134.0015662,22.33359436,89.33437744,134.0015662,335.0039154
,,,,,,,,53,44.55581656,133.6674497,22.27790828,89.11163312,133.6674497,334.1686242
,,,,,,,,54,45.3319412,135.9958236,22.6659706,90.6638824,135.9958236,339.989559
,,,,,,,,55,46.77629864,140.3288959,23.38814932,93.55259728,140.3288959,350.8222398
,,,,,,,,56,48.85756544,146.5726963,24.42878272,97.71513088,146.5726963,366.4317408
,,,,,,,,57,50.79961712,152.3988514,25.39980856,101.5992342,152.3988514,380.9971284
,,,,,,,,58,52.65813976,157.9744193,26.32906988,105.3162795,157.9744193,394.9360482
,,,,,,,,59,54.84729832,164.541895,27.42364916,109.6945966,164.541895,411.3547374
,,,,,,,,60,56.43435136,169.3030541,28.21717568,112.8687027,169.3030541,423.2576352
,,,,,,,,61,57.24527976,171.7358393,28.62263988,114.4905595,171.7358393,429.3395982
,,,,,,,,62,56.95988864,170.8796659,28.47994432,113.9197773,170.8796659,427.1991648
,,,,,,,,63,56.71626208,170.1487862,28.35813104,113.4325242,170.1487862,425.3719656
,,,,,,,,64,57.28356392,171.8506918,28.64178196,114.5671278,171.8506918,429.6267294
,,,,,,,,65,59.3613504,178.0840512,29.6806752,118.7227008,178.0840512,445.210128
,,,,,,,,66,62.98790568,188.963717,31.49395284,125.9758114,188.963717,472.4092926
,,,,,,,,67,61.50526408,184.5157922,30.75263204,123.0105282,184.5157922,461.2894806
,,,,,,,,68,59.45184024,178.3555207,29.72592012,118.9036805,178.3555207,445.8888018
,,,,,,,,69,57.55155312,172.6546594,28.77577656,115.1031062,172.6546594,431.6366484
,,,,,,,,70,55.53293312,166.5987994,27.76646656,111.0658662,166.5987994,416.4969984
,,,,,,,,71,52.8878448,158.6635344,26.4439224,105.7756896,158.6635344,396.658836
,,,,,,,,72,50.20099192,150.6029758,25.10049596,100.4019838,150.6029758,376.5074394
,,,,,,,,73,47.90742192,143.7222658,23.95371096,95.81484384,143.7222658,359.3056644
,,,,,,,,74,47.11737576,141.3521273,23.55868788,94.23475152,141.3521273,353.3803182
,,,,,,,,75,45.9375272,137.8125816,22.9687636,91.8750544,137.8125816,344.531454
,,,,,,,,76,45.6660576,136.9981728,22.8330288,91.3321152,136.9981728,342.495432
,,,,,,,,77,46.04889936,138.1466981,23.02444968,92.09779872,138.1466981,345.3667452
,,,,,,,,78,47.87957888,143.6387366,23.93978944,95.75915776,143.6387366,359.0968416
,,,,,,,,79,51.9342208,155.8026624,25.9671104,103.8684416,155.8026624,389.506656
,,,,,,,,80,55.94709824,167.8412947,27.97354912,111.8941965,167.8412947,419.6032368
,,,,,,,,81,58.73836248,176.2150874,29.36918124,117.476725,176.2150874,440.5377186
,,,,,,,,82,59.71286872,179.1386062,29.85643436,119.4257374,179.1386062,447.8465154
,,,,,,,,83,60.32541544,180.9762463,30.16270772,120.6508309,180.9762463,452.4406158
,,,,,,,,84,61.28251976,183.8475593,30.64125988,122.5650395,183.8475593,459.6188982
,,,,,,,,85,61.72800832,185.184025,30.86400416,123.4560166,185.184025,462.9600624
,,,,,,,,86,61.47742104,184.4322631,30.73871052,122.9548421,184.4322631,461.0806578
,,,,,,,,87,61.02845208,183.0853562,30.51422604,122.0569042,183.0853562,457.7133906
,,,,,,,,88,61.83590008,185.5077002,30.91795004,123.6718002,185.5077002,463.7692506
,,,,,,,,89,63.59349168,190.780475,31.79674584,127.1869834,190.780475,476.9511876
