Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64,Load_MW_z65,Load_MW_z66,Load_MW_z67,Load_MW_z68,Load_MW_z69,Load_MW_z70,Load_MW_z71,Load_MW_z72,Load_MW_z73,Load_MW_z74,Load_MW_z75,Load_MW_z76,Load_MW_z77,Load_MW_z78,Load_MW_z79,Load_MW_z80,Load_MW_z81,Load_MW_z82,Load_MW_z83,Load_MW_z84
,,,,,,,,11,5940.07859,4276.85658,0,0,2376.03143,0,1188.01572,0,6.65288802,5.70247544,7.1280943,0,4.75206287,7.60330059,8.07850688,0,3.56404715,0,0,4.75206287,2.85123772,9.97933202,10.6921415,0,0,0,4.51445972,5.22726916,5.94007859,7.36569745,4.98966601,5.22726916,13.305776,2.13842829,4.27685658,6.41528487,3.56404715,9.50412574,2.13842829,4.27685658,11.8801572,0,0,0,0,5.70247544,7.60330059,5.22726916,4.03925344,3.08884086,6.17768173,4.03925344,4.75206287,4.03925344,4.27685658,4.51445972,3.56404715,5.94007859,6.41528487,4.75206287,12.2151776,15.4442043,9.02891945,0,7.1280943,7.36569745,5.22726916,4.75206287,5.4648723,9.26652259,15.4442043,9.97933202,0,10.9297446,0,0,0,0,7.1280943,6.65288802,0,0.522726916,2.209709234,10.47829862
,,,,,,,,12,7476.42436,5383.02554,0,0,2990.56974,0,1495.28487,0,8.37359528,7.17736739,8.97170923,0,5.98113949,9.56982318,10.1679371,0,4.48585462,0,0,5.98113949,3.58868369,12.5603929,13.4575639,0,0,0,5.68208251,6.57925344,7.47642436,9.27076621,6.28019646,6.57925344,16.7471906,2.69151277,5.38302554,8.07453831,4.48585462,11.962279,2.69151277,5.38302554,14.9528487,0,0,0,0,7.17736739,9.56982318,6.57925344,5.08396857,3.88774067,7.77548134,5.08396857,5.98113949,5.08396857,5.38302554,5.68208251,4.48585462,7.47642436,8.07453831,5.98113949,15.37451906,19.4387033,11.364165,0,8.97170923,9.27076621,6.57925344,5.98113949,6.87831041,11.663222,19.4387033,12.5603929,0,13.7566208,0,0,0,0,8.97170923,8.37359528,0,0.657925344,2.781229862,13.18841257
,,,,,,,,13,7919.4499,5702.00393,0,0,3167.77996,0,1583.88998,0,8.86978389,7.60267191,9.50333988,0,6.33555992,10.1368959,10.7704519,0,4.75166994,0,0,6.33555992,3.80133595,13.3046758,14.2550098,0,0,0,6.01878193,6.96911591,7.9194499,9.82011788,6.65233792,6.96911591,17.7395678,2.85100196,5.70200393,8.55300589,4.75166994,12.6711198,2.85100196,5.70200393,15.8388998,0,0,0,0,7.60267191,10.1368959,6.96911591,5.38522593,4.11811395,8.2362279,5.38522593,6.33555992,5.38522593,5.70200393,6.01878193,4.75166994,7.9194499,8.55300589,6.33555992,16.28555678,20.5905697,12.0375639,0,9.50333988,9.82011788,6.96911591,6.33555992,7.28589391,12.3543418,20.5905697,13.3046758,0,14.5717878,0,0,0,0,9.50333988,8.86978389,0,0.696911591,2.946035363,13.96990963
,,,,,,,,14,7481.33595,5386.56189,0,0,2992.53438,0,1496.26719,0,8.37909627,7.18208251,8.97760314,0,5.98506876,9.57611002,10.1746169,0,4.48880157,0,0,5.98506876,3.59104126,12.5686444,13.4664047,0,0,0,5.68581532,6.58357564,7.48133595,9.27685658,6.2843222,6.58357564,16.7581925,2.69328094,5.38656189,8.07984283,4.48880157,11.9701375,2.69328094,5.38656189,14.9626719,0,0,0,0,7.18208251,9.57611002,6.58357564,5.08730845,3.8902947,7.78058939,5.08730845,5.98506876,5.08730845,5.38656189,5.68581532,4.48880157,7.48133595,8.07984283,5.98506876,15.38461925,19.4514735,11.3716306,0,8.97760314,9.27685658,6.58357564,5.98506876,6.88282908,11.6708841,19.4514735,12.5686444,0,13.7656582,0,0,0,0,8.97760314,8.37909627,0,0.658357564,2.783056974,13.19707662
,,,,,,,,15,7311.39489,5264.20432,0,0,2924.55796,0,1462.27898,0,8.18876228,7.0189391,8.77367387,0,5.84911591,9.35858546,9.94349705,0,4.38683694,0,0,5.84911591,3.50946955,12.2831434,13.1605108,0,0,0,5.55666012,6.4340275,7.31139489,9.06612967,6.14157171,6.4340275,16.3775246,2.63210216,5.26420432,7.89630648,4.38683694,11.6982318,2.63210216,5.26420432,14.6227898,0,0,0,0,7.0189391,9.35858546,6.4340275,4.97174853,3.80192534,7.60385069,4.97174853,5.84911591,4.97174853,5.26420432,5.55666012,4.38683694,7.31139489,7.89630648,5.84911591,15.03515246,19.0096267,11.1133202,0,8.77367387,9.06612967,6.4340275,5.84911591,6.7264833,11.405776,19.0096267,12.2831434,0,13.4529666,0,0,0,0,8.77367387,8.18876228,0,0.64340275,2.7198389,12.89730059
,,,,,,,,16,7336.93517,5282.59332,0,0,2934.77407,0,1467.38703,0,8.21736739,7.04345776,8.8043222,0,5.86954813,9.39127701,9.97823183,0,4.4021611,0,0,5.86954813,3.52172888,12.3260511,13.2064833,0,0,0,5.57607073,6.45650295,7.33693517,9.09779961,6.16302554,6.45650295,16.4347348,2.64129666,5.28259332,7.92388998,4.4021611,11.7390963,2.64129666,5.28259332,14.6738703,0,0,0,0,7.04345776,9.39127701,6.45650295,4.98911591,3.81520629,7.63041257,4.98911591,5.86954813,4.98911591,5.28259332,5.57607073,4.4021611,7.33693517,7.92388998,5.86954813,15.08767348,19.0760314,11.1521415,0,8.8043222,9.09779961,6.45650295,5.86954813,6.74998035,11.4456189,19.0760314,12.3260511,0,13.4999607,0,0,0,0,8.8043222,8.21736739,0,0.645650295,2.729339882,12.94235363
,,,,,,,,17,8789.78389,6328.6444,0,0,3515.91356,0,1757.95678,0,9.84455796,8.43819253,10.5477407,0,7.03182711,11.2509234,11.9541061,0,5.27387033,0,0,7.03182711,4.21909627,14.7668369,15.821611,0,0,0,6.68023576,7.73500982,8.78978389,10.899332,7.38341847,7.73500982,19.6891159,3.1643222,6.3286444,9.4929666,5.27387033,14.0636542,3.1643222,6.3286444,17.5795678,0,0,0,0,8.43819253,11.2509234,7.73500982,5.97705305,4.57068762,9.14137525,5.97705305,7.03182711,5.97705305,6.3286444,6.68023576,5.27387033,8.78978389,9.4929666,7.03182711,18.07531159,22.8534381,13.3604715,0,10.5477407,10.899332,7.73500982,7.03182711,8.08660118,13.7120629,22.8534381,14.7668369,0,16.1732024,0,0,0,0,10.5477407,9.84455796,0,0.773500982,3.269799607,15.50517878
,,,,,,,,18,11143.9096,8023.61493,0,0,4457.56385,0,2228.78193,0,12.4811788,10.6981532,13.3726916,0,8.9151277,14.2642043,15.1557171,0,6.68634578,0,0,8.9151277,5.34907662,18.7217682,20.0590373,0,0,0,8.46937132,9.80664047,11.1439096,13.8184479,9.36088409,9.80664047,24.9623576,4.01180747,8.02361493,12.0354224,6.68634578,17.8302554,4.01180747,8.02361493,22.2878193,0,0,0,0,10.6981532,14.2642043,9.80664047,7.57785855,5.79483301,11.589666,7.57785855,8.9151277,7.57785855,8.02361493,8.46937132,6.68634578,11.1439096,12.0354224,8.9151277,22.91633576,28.974165,16.9387426,0,13.3726916,13.8184479,9.80664047,8.9151277,10.2523969,17.384499,28.974165,18.7217682,0,20.5047937,0,0,0,0,13.3726916,12.4811788,0,0.980664047,4.145534381,19.65785658
,,,,,,,,19,11763.2613,8469.54813,0,0,4705.30452,0,2352.65226,0,13.1748527,11.2927308,14.1159136,0,9.41060904,15.0569745,15.9980354,0,7.05795678,0,0,9.41060904,5.64636542,19.762279,21.1738703,0,0,0,8.94007859,10.3516699,11.7632613,14.586444,9.88113949,10.3516699,26.3497053,4.23477407,8.46954813,12.7043222,7.05795678,18.8212181,4.23477407,8.46954813,23.5265226,0,0,0,0,11.2927308,15.0569745,10.3516699,7.99901768,6.11689587,12.2337917,7.99901768,9.41060904,7.99901768,8.46954813,8.94007859,7.05795678,11.7632613,12.7043222,9.41060904,24.18997053,30.5844794,17.8801572,0,14.1159136,14.586444,10.3516699,9.41060904,10.8222004,18.3506876,30.5844794,19.762279,0,21.6444008,0,0,0,0,14.1159136,13.1748527,0,1.035166994,4.375933202,20.75039293
,,,,,,,,20,11364.9312,8182.75049,0,0,4545.9725,0,2272.98625,0,12.728723,10.910334,13.6379175,0,9.09194499,14.547112,15.4563065,0,6.81895874,0,0,9.09194499,5.45516699,19.0930845,20.4568762,0,0,0,8.63734774,10.0011395,11.3649312,14.0925147,9.54654224,10.0011395,25.457446,4.09137525,8.18275049,12.2741257,6.81895874,18.18389,4.09137525,8.18275049,22.7298625,0,0,0,0,10.910334,14.547112,10.0011395,7.72815324,5.90976424,11.8195285,7.72815324,9.09194499,7.72815324,8.18275049,8.63734774,6.81895874,11.3649312,12.2741257,9.09194499,23.3708446,29.5488212,17.2746955,0,13.6379175,14.0925147,10.0011395,9.09194499,10.4557367,17.7292927,29.5488212,19.0930845,0,20.9114735,0,0,0,0,13.6379175,12.728723,0,1.000113949,4.22775442,20.0477387
,,,,,,,,21,10463.6542,7533.83104,0,0,4185.46169,0,2092.73084,0,11.7192927,10.0451081,12.5563851,0,8.37092338,13.3934774,14.2305697,0,6.27819253,0,0,8.37092338,5.02255403,17.5789391,18.8345776,0,0,0,7.95237721,9.20801572,10.4636542,12.9749312,8.78946955,9.20801572,23.4385855,3.76691552,7.53383104,11.3007466,6.27819253,16.7418468,3.76691552,7.53383104,20.9273084,0,0,0,0,10.0451081,13.3934774,9.20801572,7.11528487,5.4411002,10.8822004,7.11528487,8.37092338,7.11528487,7.53383104,7.95237721,6.27819253,10.4636542,11.3007466,8.37092338,21.51745855,27.205501,15.9047544,0,12.5563851,12.9749312,9.20801572,8.37092338,9.62656189,16.3233006,27.205501,17.5789391,0,19.2531238,0,0,0,0,12.5563851,11.7192927,0,0.920801572,3.892479371,18.45788605
,,,,,,,,22,10424.8527,7505.89391,0,0,4169.94106,0,2084.97053,0,11.675835,10.0078585,12.5098232,0,8.33988212,13.3438114,14.1777996,0,6.25491159,0,0,8.33988212,5.00392927,17.5137525,18.7647348,0,0,0,7.92288802,9.17387033,10.4248527,12.9268173,8.75687623,9.17387033,23.3516699,3.75294695,7.50589391,11.2588409,6.25491159,16.6797642,3.75294695,7.50589391,20.8497053,0,0,0,0,10.0078585,13.3438114,9.17387033,7.0888998,5.42092338,10.8418468,7.0888998,8.33988212,7.0888998,7.50589391,7.92288802,6.25491159,10.4248527,11.2588409,8.33988212,21.43766699,27.1046169,15.845776,0,12.5098232,12.9268173,9.17387033,8.33988212,9.59086444,16.2627701,27.1046169,17.5137525,0,19.1817289,0,0,0,0,12.5098232,11.675835,0,0.917387033,3.878045187,18.38944008
,,,,,,,,23,10990.668,7913.28094,0,0,4396.26719,0,2198.1336,0,12.3095481,10.5510413,13.1888016,0,8.79253438,14.068055,14.9473084,0,6.59440079,0,0,8.79253438,5.27552063,18.4643222,19.7832024,0,0,0,8.35290766,9.67178782,10.990668,13.6284283,9.2321611,9.67178782,24.6190963,3.95664047,7.91328094,11.8699214,6.59440079,17.5850688,3.95664047,7.91328094,21.981336,0,0,0,0,10.5510413,14.068055,9.67178782,7.47365422,5.71514735,11.4302947,7.47365422,8.79253438,7.47365422,7.91328094,8.35290766,6.59440079,10.990668,11.8699214,8.79253438,22.60120963,28.5757367,16.7058153,0,13.1888016,13.6284283,9.67178782,8.79253438,10.1114145,17.145442,28.5757367,18.4643222,0,20.2228291,0,0,0,0,13.1888016,12.3095481,0,0.967178782,4.088528487,19.38753831
,,,,,,,,24,9364.44008,6742.39686,0,0,3745.77603,0,1872.88802,0,10.4881729,8.98986248,11.2373281,0,7.49155206,11.9864833,12.7356385,0,5.61866405,0,0,7.49155206,4.49493124,15.7322593,16.8559921,0,0,0,7.11697446,8.24070727,9.36444008,11.6119057,7.86612967,8.24070727,20.9763458,3.37119843,6.74239686,10.1135953,5.61866405,14.9831041,3.37119843,6.74239686,18.7288802,0,0,0,0,8.98986248,11.9864833,8.24070727,6.36781925,4.86950884,9.73901768,6.36781925,7.49155206,6.36781925,6.74239686,7.11697446,5.61866405,9.36444008,10.1135953,7.49155206,19.25703458,24.3475442,14.2339489,0,11.2373281,11.6119057,8.24070727,7.49155206,8.61528487,14.6085265,24.3475442,15.7322593,0,17.2305697,0,0,0,0,11.2373281,10.4881729,0,0.824070727,3.483571709,16.5188723
